Category,Rank,College,Volunteers
Large,1,University of Washington ,72
Large,2,University of Wisconsin-Madison ,68
Large,3,University of Minnesota ,59
Large,3,University of Florida ,59
Large,5,University of Colorado Boulder ,53
Large,6,University of Michigan ,48
Large,7,Indiana University Bloomington ,47
Large,8,Colorado State University ,43
Large,8,"University of California, Santa Barbara ",43
Large,10,The Ohio State University ,42
Large,11,University of Maryland ,41
Large,12,University of North Carolina at Chapel Hill ,39
Large,13,"University of California, Berkeley ",37
Large,14,"University of California, Davis  ",36
Large,14,"University of California, San Diego ",36
Large,16,University of Illinois at Urbana-Champaign ,35
Large,16,University of South Florida ,35
Large,16,"University of California, Los Angeles ",35
Large,16,University of Oregon ,35
Large,16,James Madison University ,35
Large,21,California Polytechnic State University  ,34
Large,22,Arizona State University  ,33
Large,22,Michigan State University  ,33
Large,24,San Diego State University ,32
Large,24,"University of California, Santa Cruz ",32
Medium,1 ,The George Washington University ,43
Medium,2 ,American University ,42
Medium,3 ,Western Washington University ,41
Medium,4 ,Cornell University ,38
Medium,5 ,University of Virginia ,36
Medium,6 ,University of Vermont  ,31
Medium,7 ,Georgetown University ,29
Medium,8 ,Emory University ,27
Medium,9 ,Humboldt State University ,25
Medium,10 ,University of Montana ,24
Medium,10 ,The College of William & Mary  ,24
Medium,12 ,Tulane University ,19
Medium,13 ,University of New Hampshire ,18
Medium,14 ,Montana State University  ,16
Medium,14 ,University of Wisconsin-Stevens Point  ,16
Medium,14 ,Howard University ,16
Medium,14 ,University of San Diego ,16
Medium,18 ,Fordham University ,15
Medium,18 ,SUNY Geneseo  ,15
Medium,20 ,University of Hawai'i at MÄÅnoa ,14
Medium,20 ,University of Minnesota Duluth ,14
Medium,20 ,University of Wisconsin-La Crosse ,14
Medium,20 ,Boston College ,14
Medium,20 ,Johns Hopkins University ,14
Medium,25 ,University of Rhode Island ,13
Medium,25 ,University of North Carolina Wilmington ,13
Medium,25 ,University of Miami ,13
Medium,25 ,University of Chicago  ,13
Small,1 ,Gonzaga University ,18
Small,1 ,University of Puget Sound ,18
Small,3 ,Macalester College ,17
Small,4 ,The Evergreen State College ,13
Small,4 ,Carleton College ,13
Small,6 ,Middlebury College ,12
Small,6 ,Willamette University  ,12
Small,8 ,University of Mary Washington ,11
Small,8 ,Dickinson College ,11
Small,8 ,Simmons College ,11
Small,11 ,University of North Carolina at Asheville ,10
Small,11 ,Gettysburg College ,10
Small,11 ,Saint Michael's College ,10
Small,14 ,Bucknell University ,9
Small,14 ,University of Richmond ,9
Small,14 ,Oberlin College ,9
Small,14 ,St. Lawrence University ,9
Small,14 ,Denison University ,9
Small,14 ,Allegheny College ,9
Small,14 ,Bowdoin College ,9
Small,14 ,Kalamazoo College ,9
Small,14 ,Knox College ,9
Small,23 ,Wake Forest University ,8
Small,23 ,Drake University ,8
Small,23 ,Seattle Pacific University ,8
Small,23 ,Smith College ,8
Small,23 ,Stonehill College ,8
Small,23 ,Whitworth University  ,8
Small,23 ,Wellesley College ,8
Small,23 ,Clark University ,8
Small,23 ,Lewis & Clark College  ,8
Small,23 ,The College of Wooster ,8
Small,23 ,Grinnell College ,8
